question,ground_truth,contexts,evolution_type,answer,faithfulness,answer_relevancy,context_precision,context_recall
Doanh thu thuan nam 2024 cua cong ty ABC la bao nhieu? [1],1.250 ty VND,1.250 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.7,0.698,0.62,0.64
Loi nhuan sau thue nam 2024 la bao nhieu? [2],85 ty VND,85 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.685,0.688,0.605,0.625
Can bao cao su co ro ri du lieu trong bao nhieu gio? [3],72 gio ke tu khi phat hien neu ap dung,72 gio ke tu khi phat hien neu ap dung,simple,Theo tai lieu: 72 gio ke tu khi phat hien neu ap dung.,0.92,0.781,0.637,0.653
Nghi dinh 13 lien quan den chu de gi? [4],Bao ve du lieu ca nhan,Bao ve du lieu ca nhan,simple,Theo tai lieu: Bao ve du lieu ca nhan.,0.905,0.715,0.855,0.855
Chuyen giao du lieu ca nhan ra nuoc ngoai can gi? [5],"Danh gia tac dong, hop dong va bien phap bao dam","Danh gia tac dong, hop dong va bien phap bao dam",simple,"Theo tai lieu: Danh gia tac dong, hop dong va bien phap bao dam.",0.89,0.726,0.84,0.84
Doanh thu thuan nam 2024 cua cong ty ABC la bao nhieu? [6],1.250 ty VND,1.250 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.625,0.623,0.545,0.565
Loi nhuan sau thue nam 2024 la bao nhieu? [7],85 ty VND,85 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.61,0.613,0.53,0.55
Can bao cao su co ro ri du lieu trong bao nhieu gio? [8],72 gio ke tu khi phat hien neu ap dung,72 gio ke tu khi phat hien neu ap dung,simple,Theo tai lieu: 72 gio ke tu khi phat hien neu ap dung.,0.95,0.811,0.667,0.683
Nghi dinh 13 lien quan den chu de gi? [9],Bao ve du lieu ca nhan,Bao ve du lieu ca nhan,simple,Theo tai lieu: Bao ve du lieu ca nhan.,0.935,0.745,0.885,0.885
Chuyen giao du lieu ca nhan ra nuoc ngoai can gi? [10],"Danh gia tac dong, hop dong va bien phap bao dam","Danh gia tac dong, hop dong va bien phap bao dam",simple,"Theo tai lieu: Danh gia tac dong, hop dong va bien phap bao dam.",0.92,0.756,0.87,0.87
