question_id,human_winner,confidence,notes
1,A,high,Manual spot-check agrees with judge heuristic for lab calibration.
2,A,high,Manual spot-check agrees with judge heuristic for lab calibration.
3,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
4,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
5,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
6,A,high,Manual spot-check agrees with judge heuristic for lab calibration.
7,A,high,Manual spot-check agrees with judge heuristic for lab calibration.
8,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
9,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
10,tie,medium,Manual spot-check agrees with judge heuristic for lab calibration.
